index,station,currently_observed,n_first_bloom_points,n_full_bloom_points,first_bloom_year_range,full_bloom_year_range,first_bloom_trend_days_per_decade,full_bloom_trend_days_per_decade,species_note,temporal_plot,phase_space_plot
33,Toyama,True,73,73,1953-2025,1953-2025,-1.642,-1.475,,temporal_plots/033_Toyama_temporal.png,phase_space_plots/033_Toyama_phase_space.png
34,Nagano,True,73,73,1953-2025,1953-2025,-1.155,-1.4,,temporal_plots/034_Nagano_temporal.png,phase_space_plots/034_Nagano_phase_space.png
35,Takada,False,55,55,1953-2007,1953-2007,-0.553,-0.719,,temporal_plots/035_Takada_temporal.png,phase_space_plots/035_Takada_phase_space.png
36,Utsunomiya,True,73,73,1953-2025,1953-2025,-1.634,-1.181,,temporal_plots/036_Utsunomiya_temporal.png,phase_space_plots/036_Utsunomiya_phase_space.png
37,Fukui,True,73,73,1953-2025,1953-2025,-1.3,-1.208,,temporal_plots/037_Fukui_temporal.png,phase_space_plots/037_Fukui_phase_space.png
38,Takayama,False,53,53,1953-2005,1953-2005,-0.022,-0.336,,temporal_plots/038_Takayama_temporal.png,phase_space_plots/038_Takayama_phase_space.png
39,Matsumoto,False,55,55,1953-2007,1953-2007,-0.983,-1.119,,temporal_plots/039_Matsumoto_temporal.png,phase_space_plots/039_Matsumoto_phase_space.png
40,Maebashi,True,73,73,1953-2025,1953-2025,-1.075,-1.351,,temporal_plots/040_Maebashi_temporal.png,phase_space_plots/040_Maebashi_phase_space.png
41,Kumagaya,True,73,73,1953-2025,1953-2025,-1.475,-1.397,,temporal_plots/041_Kumagaya_temporal.png,phase_space_plots/041_Kumagaya_phase_space.png
42,Mito,True,73,73,1953-2025,1953-2025,-1.623,-1.34,,temporal_plots/042_Mito_temporal.png,phase_space_plots/042_Mito_phase_space.png
43,Tsuruga,False,53,53,1953-2005,1953-2005,-0.81,-0.769,,temporal_plots/043_Tsuruga_temporal.png,phase_space_plots/043_Tsuruga_phase_space.png
44,Gifu,True,73,73,1953-2025,1953-2025,-1.745,-1.428,,temporal_plots/044_Gifu_temporal.png,phase_space_plots/044_Gifu_phase_space.png
45,Nagoya,True,73,73,1953-2025,1953-2025,-1.524,-1.061,,temporal_plots/045_Nagoya_temporal.png,phase_space_plots/045_Nagoya_phase_space.png
46,Iida,False,54,54,1953-2006,1953-2006,-0.59,-0.484,,temporal_plots/046_Iida_temporal.png,phase_space_plots/046_Iida_phase_space.png
47,Kofu,True,73,73,1953-2025,1953-2025,-1.47,-0.839,,temporal_plots/047_Kofu_temporal.png,phase_space_plots/047_Kofu_phase_space.png
48,Choshi,True,73,73,1953-2025,1953-2025,-0.577,-0.65,,temporal_plots/048_Choshi_temporal.png,phase_space_plots/048_Choshi_phase_space.png
49,Tsu,True,73,73,1953-2025,1953-2025,-1.223,-1.522,,temporal_plots/049_Tsu_temporal.png,phase_space_plots/049_Tsu_phase_space.png
50,Hamamatsu,False,53,52,1953-2005,1953-2005,-1.105,-0.67,,temporal_plots/050_Hamamatsu_temporal.png,phase_space_plots/050_Hamamatsu_phase_space.png
51,Shizuoka,True,73,73,1953-2025,1953-2025,-0.965,-0.65,,temporal_plots/051_Shizuoka_temporal.png,phase_space_plots/051_Shizuoka_phase_space.png
